kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3546060,K02126.01,Kepler-1110 b,1,1,0,0,0,0,9.69310837,134.53003,0.534,2.734,1.13E+03,2.12,609,32.4,30.4,1,q1_q17_dr25_tce,4818,4.639,0.618,291.80801,38.6227,15.914
7019489,K02128.01,,0,0,0,1,1,0,24.2598301,132.47982,1.244,3.897,1.54E+03,25.42,547,21.13,26.3,1,q1_q17_dr25_tce,5485,4.574,0.805,286.94415,42.580631,15.962
2141783,K02201.01,,0,0,0,1,0,0,116.5214317,144.13378,1.26,5.577,7.72E+02,44.41,457,10.33,25,1,q1_q17_dr25_tce,6056,4.179,1.411,286.37,37.552521,13.806
4144576,K02202.01,Kepler-1139 b,1,1,0,0,0,0,0.813166357,131.82536,0.06,1.4122,1.74E+02,1.14,1693,1945.44,34.8,1,q1_q17_dr25_tce,5237,4.5,0.887,287.94562,39.230572,14.113
9992325,K02205.01,Kepler-1140 b,1,1,0,0,0,0,24.08632177,148.20086,0.802,2.236,1.04E+03,2.78,500,14.78,18,1,q1_q17_dr25_tce,4973,4.537,0.768,281.69397,46.946449,15.464
10206675,K02283.01,,0,0,0,1,1,0,17.40208965,141.93057,1.216,3.745,6.17E+02,16.37,422,7.49,20.9,1,q1_q17_dr25_tce,4098,4.662,0.615,291.37744,47.21257,15.245
9945370,K02285.01,Kepler-1175 b,1,1,0,0,0,0,37.9456138,134.78331,0.263,4.093,1.03E+03,2.79,515,16.61,24,1,q1_q17_dr25_tce,5861,4.546,0.865,289.1427,46.812889,15.939
3832716,K00027.01,,0,0,1,0,0,0,1.141877248,170.3386848,0.598,4.33931,3.09E+05,88.62,2184,5358.79,2036.3,1,q1_q17_dr25_tce,6158,4.152,1.368,285.39404,38.904911,13.418
8453211,K00236.01,,0,0,0,1,1,1,5.77675928,143.09616,1.272,6.789,3.52E+03,32.77,954,195.79,141.4,1,q1_q17_dr25_tce,5544,4.435,0.875,298.80206,44.420349,14.572
8973129,K02286.01,Kepler-1176 b,1,1,0,0,0,0,24.1738244,135.62471,0.251,3.056,5.33E+02,2.21,595,29.69,21.5,1,q1_q17_dr25_tce,5468,4.427,0.968,297.91974,45.274158,15.056
11670125,K02355.01,Kepler-1206 b,1,1,0,0,0,0,1.217000383,132.03128,0.028,1.3285,4.60E+02,1.58,1314,707.61,26.5,1,q1_q17_dr25_tce,4859,4.545,0.757,295.93842,49.791142,15.975
11461844,K02356.01,Kepler-1207 b,1,0.997,0,0,0,0,13.6823798,139.18611,0.595,4.153,1.80E+02,1.43,802,97.74,17,1,q1_q17_dr25_tce,6102,4.457,1.026,295.06424,49.35899,14.5
9351920,K02129.01,Kepler-1111 b,1,1,0,0,0,0,8.79618433,135.67645,0.05,3.3781,2.86E+02,1.77,938,183.26,27,1,q1_q17_dr25_tce,6142,4.456,1.046,295.46338,45.81274,15.159
10549023,K02131.01,Kepler-1112 b,1,1,0,0,0,0,14.36270451,141.435,0.272,4.564,3.49E+02,2.31,918,167.88,26.8,1,q1_q17_dr25_tce,6643,4.357,1.216,296.96881,47.751492,14.612
9661979,K02132.01,Kepler-1681 b,1,0.999,0,0,0,0,69.8956789,160.66805,0.872,5.276,5.48E+02,3.04,442,8.99,21.9,1,q1_q17_dr25_tce,5390,4.303,1.104,296.69727,46.371712,14.552
8219268,K02133.01,Kepler-91 b,1,0.059,0,0,0,0,6.24667547,136.38688,0.877,11.261,3.97E+02,14.93,1902,3095.83,63.6,1,q1_q17_dr25_tce,4604,2.936,6.221,285.67288,44.11673,12.495
10531955,K02208.01,Kepler-1141 b,1,1,0,0,0,0,2.344512589,132.87316,0.803,1.4116,5.89E+01,0.97,1471,1106.25,21.9,1,q1_q17_dr25_tce,5821,4.328,1.132,290.54364,47.725887,12.589
4833421,K00232.02,Kepler-122 b,1,1,0,0,0,0,5.766165573,134.01725,0.017,3.8314,3.65E+02,2.27,1159,426.48,65.6,2,q1_q17_dr25_tce,6038,4.284,1.191,291.11188,39.949108,14.247
8168187,K02209.01,Kepler-1142 b,1,0.988,0,0,0,0,18.3027235,142.89166,0.742,8.262,1.87E+02,2.72,902,156.71,24.7,1,q1_q17_dr25_tce,5528,3.892,1.839,292.71445,44.082329,14.31
4142847,K02210.01,Kepler-1143 b,1,0.999,0,0,0,0,2.888904439,132.15271,0.77,1.6043,4.02E+02,1.68,976,215.06,23.7,2,q1_q17_dr25_tce,4895,4.589,0.759,287.30283,39.289688,15.195
10203349,K02212.01,Kepler-1144 b,1,1,0,0,0,0,17.14648756,140.66122,0.918,4.2354,4.40E+02,3.64,811,102.24,28.3,1,q1_q17_dr25_tce,5559,4.127,1.412,290.04327,47.25798,14.941
9718066,K02287.01,Kepler-378 b,1,0.199,0,0,0,0,16.09227518,142.51659,0.932,2.1072,1.29E+02,0.98,503,15.15,18.1,1,q1_q17_dr25_tce,4657,4.641,0.67,294.94858,46.438641,12.485
